Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2/14/19,169.7100067,171.2599945,169.3800049,170.8000031,168.5932922,21835700,AAPL
2/15/19,171.25,171.6999969,169.75,170.4199982,168.2182007,24626800,AAPL
2/19/19,169.7100067,171.4400024,169.4900055,170.9299927,168.7215881,18972800,AAPL
2/20/19,171.1900024,173.3200073,170.9900055,172.0299988,169.8073883,26114400,AAPL
2/21/19,171.8000031,172.3699951,170.3000031,171.0599976,168.8499298,17249700,AAPL
2/22/19,171.5800018,173,171.3800049,172.9700012,170.7352295,18913200,AAPL
2/25/19,174.1600037,175.8699951,173.9499969,174.2299957,171.9789581,21873400,AAPL
2/26/19,173.7100067,175.3000031,173.1699982,174.3300018,172.0776672,17070200,AAPL
2/27/19,173.2100067,175,172.7299957,174.8699951,172.6106873,27835400,AAPL
2/28/19,174.3200073,174.9100037,172.9199982,173.1499939,170.9129181,28215400,AAPL
3/1/19,174.2799988,175.1499939,172.8899994,174.9700012,172.7093811,25886200,AAPL
3/4/19,175.6900024,177.75,173.9700012,175.8500061,173.5780334,27436200,AAPL
3/5/19,175.9400024,176,174.5399933,175.5299988,173.2621613,19737400,AAPL
3/6/19,174.6699982,175.4900055,173.9400024,174.5200043,172.2652283,20810400,AAPL
3/7/19,173.8699951,174.4400024,172.0200043,172.5,170.2713165,24796400,AAPL
3/8/19,170.3200073,173.0700073,169.5,172.9100037,170.6760254,23999400,AAPL
3/11/19,175.4900055,179.1199951,175.3500061,178.8999939,176.5886078,32011000,AAPL
3/12/19,180,182.6699982,179.3699951,180.9100037,178.5726624,32467600,AAPL
3/13/19,182.25,183.3000031,180.9199982,181.7100067,179.3623199,31032500,AAPL
3/14/19,183.8999939,184.1000061,182.5599976,183.7299957,181.3562164,23579500,AAPL
3/15/19,184.8500061,187.3300018,183.7400055,186.1199951,183.715332,39042900,AAPL
3/18/19,185.8000031,188.3899994,185.7899933,188.0200043,185.5908051,26219800,AAPL
3/19/19,188.3500061,188.9900055,185.9199982,186.5299988,184.1200562,31646400,AAPL
3/20/19,186.2299957,189.4900055,184.7299957,188.1600037,185.7289886,31035200,AAPL
3/21/19,190.0200043,196.3300018,189.8099976,195.0899963,192.5694275,51034200,AAPL
3/22/19,195.3399963,197.6900024,190.7799988,191.0500031,188.5816498,42407700,AAPL
3/25/19,191.5099945,191.9799957,186.6000061,188.7400055,186.3014832,43845300,AAPL
3/26/19,191.6600037,192.8800049,184.5800018,186.7899933,184.3766785,49800500,AAPL
3/27/19,188.75,189.7599945,186.5500031,188.4700012,186.0349731,29848400,AAPL
3/28/19,188.9499969,189.5599976,187.5299988,188.7200012,186.2817383,20780400,AAPL
3/29/19,189.8300018,190.0800018,188.5399933,189.9499969,187.4958649,23564000,AAPL
4/1/19,191.6399994,191.6799927,188.3800049,191.2400055,188.7692108,27862000,AAPL
4/2/19,191.0899963,194.4600067,191.0500031,194.0200043,191.5132904,22765700,AAPL
4/3/19,193.25,196.5,193.1499939,195.3500061,192.8261108,23271800,AAPL
4/4/19,194.7899933,196.3699951,193.1399994,195.6900024,193.1616821,19114300,AAPL
4/5/19,196.4499969,197.1000061,195.9299927,197,194.4547577,18526600,AAPL
4/8/19,196.4199982,200.2299957,196.3399963,200.1000061,197.5147095,25881700,AAPL
4/9/19,200.3200073,202.8500061,199.2299957,199.5,196.9224701,35768200,AAPL
4/10/19,198.6799927,200.7400055,198.1799927,200.6199951,198.0279846,21695300,AAPL
4/11/19,200.8500061,201,198.4400024,198.9499969,196.3795776,20900800,AAPL
4/12/19,199.1999969,200.1399994,196.2100067,198.8699951,196.3006134,27760700,AAPL
4/15/19,198.5800018,199.8500061,198.0099945,199.2299957,196.6559601,17536600,AAPL
4/16/19,199.4600067,201.3699951,198.5599976,199.25,196.675705,25696400,AAPL
4/17/19,199.5399933,203.3800049,198.6100006,203.1300049,200.5055847,28906800,AAPL
4/18/19,203.1199951,204.1499939,202.5200043,203.8600006,201.2261505,24195800,AAPL
4/22/19,202.8300018,204.9400024,202.3399963,204.5299988,201.8874969,19439500,AAPL
4/23/19,204.4299927,207.75,203.8999939,207.4799957,204.7993622,23323000,AAPL
4/24/19,207.3600006,208.4799957,207.0500031,207.1600037,204.4835052,17540600,AAPL
4/25/19,206.8300018,207.7599945,205.1199951,205.2799988,202.6278076,18543200,AAPL
4/26/19,204.8999939,205,202.1199951,204.3000031,201.6604614,18649100,AAPL
4/29/19,204.3999939,205.9700012,203.8600006,204.6100006,201.9664612,22204700,AAPL
